DATE_TIME,current_contract,next_contract
2014-03-14 00:03:00,20140400,20140600
2014-05-15 00:12:00,20140600,20140800
2014-07-15 00:22:00,20140800,20141000
2014-09-14 22:00:00,20141000,20141200
2014-11-14 00:20:00,20141200,20150200
2015-01-15 00:03:00,20150200,20150400
2015-03-15 22:00:00,20150400,20150600
2015-05-15 00:01:00,20150600,20150800
2015-07-15 00:53:00,20150800,20151000
2015-09-14 00:00:00,20151000,20151200
2015-11-13 00:23:00,20151200,20160200
2016-01-15 00:03:00,20160200,20160400
2016-03-15 00:01:00,20160400,20160600
2016-05-15 22:00:00,20160600,20160800
2016-07-15 00:24:00,20160800,20161000
2016-09-14 00:00:00,20161000,20161200
2016-11-14 00:01:00,20161200,20170200
2017-01-15 23:00:00,20170200,20170400
2017-03-15 00:01:00,20170400,20170600
2017-05-15 00:05:00,20170600,20170800
2017-07-14 00:01:00,20170800,20171000
2017-09-14 00:17:00,20171000,20171200
2017-11-14 00:06:00,20171200,20180200
2018-01-15 00:08:00,20180200,20180400
2018-03-15 00:02:00,20180400,20180600
2018-05-15 00:02:00,20180600,20180800
2018-07-15 22:10:00,20180800,20181000
2018-09-14 00:19:00,20181000,20181200
2018-11-14 00:07:00,20181200,20190200
2019-01-15 00:11:00,20190200,20190400
2019-03-15 00:01:00,20190400,20190600
2019-05-15 00:00:00,20190600,20190800
2019-07-15 00:15:00,20190800,20191000
2019-09-13 00:04:00,20191000,20191200
2019-11-14 00:03:00,20191200,20200200
2020-01-15 00:00:00,20200200,20200400
2020-03-15 22:00:00,20200400,20200600
2020-05-15 00:00:00,20200600,20200800
2020-07-15 00:11:00,20200800,20201000
2020-09-14 00:00:00,20201000,20201200
2020-11-13 00:00:00,20201200,20210200
2021-01-15 00:04:00,20210200,20210400
2021-03-15 00:00:00,20210400,20210600
2021-05-14 00:03:00,20210600,20210800
2021-07-15 00:05:00,20210800,20211000
2021-09-14 00:08:00,20211000,20211200
2021-11-14 23:00:00,20211200,20220200
2022-01-14 00:12:00,20220200,20220400
2022-03-15 00:01:00,20220400,20220600
2022-05-15 22:00:00,20220600,20220800
2022-07-15 00:03:00,20220800,20221000
2022-09-14 00:01:00,20221000,20221200
2022-11-14 00:00:00,20221200,20230200
2023-01-15 23:00:00,20230200,20230400
2023-03-15 00:00:00,20230400,20230600
2023-05-15 00:00:00,20230600,20230800
2023-07-14 00:24:00,20230800,20231000
2023-09-14 00:00:00,20231000,20231200
2023-11-14 00:01:00,20231200,20240200
2024-01-15 00:02:00,20240200,20240400
2024-03-15 00:00:00,20240400,20240600
2024-05-15 00:03:00,20240600,20240800
2024-07-15 00:00:00,20240800,20241000
