DATE_TIME,current_contract,next_contract
2014-03-03 00:04:00,20140300,20140600
2014-06-03 00:46:00,20140600,20140900
2014-09-03 02:19:00,20140900,20141200
2014-12-03 01:09:00,20141200,20150300
2015-03-03 00:26:00,20150300,20150600
2015-06-03 00:00:00,20150600,20150900
2015-09-03 00:34:00,20150900,20151200
2015-12-03 00:04:00,20151200,20160300
2016-03-03 00:00:00,20160300,20160600
2016-06-03 00:15:00,20160600,20160900
2016-09-02 05:25:00,20160900,20161200
2016-12-02 00:09:00,20161200,20170300
2017-03-03 00:47:00,20170300,20170600
2017-06-02 05:13:00,20170600,20170900
2017-09-03 22:00:00,20170900,20171200
2017-12-03 23:00:00,20171200,20180300
2018-03-02 06:00:00,20180300,20180600
2018-06-03 22:00:00,20180600,20180900
2018-09-03 00:02:00,20180900,20181200
2018-12-03 00:00:00,20181200,20190300
2019-03-03 23:00:00,20190300,20190600
2019-06-03 00:02:00,20190600,20190900
2019-09-03 00:08:00,20190900,20191200
2019-12-03 00:00:00,20191200,20200300
2020-03-03 00:00:00,20200300,20200600
2020-06-03 00:00:00,20200600,20200900
2020-09-03 00:00:00,20200900,20201200
2020-12-03 00:08:00,20201200,20210300
2021-03-03 00:00:00,20210300,20210600
2021-06-03 00:02:00,20210600,20210900
2021-09-03 00:21:00,20210900,20211200
2021-12-03 00:00:00,20211200,20220300
2022-03-03 00:11:00,20220300,20220600
2022-06-03 00:00:00,20220600,20220900
2022-09-02 05:07:00,20220900,20221200
2022-12-02 00:03:00,20221200,20230300
2023-03-03 00:07:00,20230300,20230600
2023-06-02 05:05:00,20230600,20230900
2023-09-03 22:00:00,20230900,20231200
2023-12-03 23:00:00,20231200,20240300
2024-03-03 23:00:00,20240300,20240600
2024-06-03 00:05:00,20240600,20240900
