index	signals	dt_when_limit_price_was_hit	dt_when_stop_loss_was_hit	dt_when_profit_target_was_hit	dt_when_this_session_ended	dt_when_trade_exited
2024-02-01 09:30:00-05:00	1	2024-02-01 09:50:00-05:00	2024-02-01 10:05:00-06:00	2024-02-13 05:15:00-05:00	2024-02-01 17:00:00-05:00	2024-02-01 11:05:00-05:00
2024-02-22 04:25:00-05:00	1	2024-02-22 06:00:00-05:00	2024-02-22 05:00:00-06:00	2024-02-22 11:00:00-05:00	2024-02-22 17:00:00-05:00	2024-02-22 06:00:00-05:00
2024-02-28 05:00:00-05:00	-1	2024-02-28 08:45:00-05:00	2024-02-28 08:00:00-06:00	2024-02-28 11:15:00-05:00	2024-02-28 17:00:00-05:00	2024-02-28 09:00:00-05:00
2024-02-28 11:30:00-05:00	1	2024-02-28 11:55:00-05:00	2024-02-29 02:20:00-06:00	2024-02-28 12:10:00-05:00	2024-02-28 17:00:00-05:00	2024-02-28 12:10:00-05:00
2024-02-29 12:35:00-05:00	1	2024-02-29 12:40:00-05:00	2024-02-29 12:00:00-06:00	2024-03-01 04:15:00-05:00	2024-02-29 17:00:00-05:00	2024-02-29 13:00:00-05:00
2024-02-29 13:05:00-05:00	1	2024-02-29 13:25:00-05:00	2024-02-29 13:10:00-06:00	2024-03-01 04:05:00-05:00	2024-02-29 17:00:00-05:00	2024-02-29 14:10:00-05:00
2024-03-04 10:25:00-05:00	1	2024-03-04 10:30:00-05:00	2024-03-04 09:45:00-06:00	2024-03-06 10:35:00-05:00	2024-03-04 17:00:00-05:00	2024-03-04 10:45:00-05:00
2024-03-05 04:35:00-05:00	-1	2024-03-05 05:40:00-05:00	2024-03-05 09:55:00-06:00	2024-03-05 06:40:00-05:00	2024-03-05 17:00:00-05:00	2024-03-05 06:40:00-05:00
2024-03-05 08:30:00-05:00	1	2024-03-05 08:40:00-05:00	2024-03-05 12:55:00-06:00	2024-03-05 10:45:00-05:00	2024-03-05 17:00:00-05:00	2024-03-05 10:45:00-05:00
2024-03-08 11:20:00-05:00	1	2024-03-08 11:25:00-05:00	2024-03-10 20:00:00-05:00	2024-03-12 02:55:00-05:00	2024-03-08 17:00:00-05:00	2024-03-08 17:00:00-05:00
2024-03-12 06:55:00-05:00	1	2024-03-12 07:00:00-05:00	2024-03-12 07:00:00-05:00	2024-03-12 09:15:00-05:00	2024-03-12 16:00:00-05:00	2024-03-12 07:00:00-05:00
2024-04-15 10:00:00-05:00	-1	2024-04-15 12:20:00-05:00	2024-04-15 12:35:00-05:00	2024-04-17 07:50:00-05:00	2024-04-15 16:00:00-05:00	2024-04-15 12:35:00-05:00
2024-04-22 20:45:00-05:00	1	2024-04-22 20:50:00-05:00	2024-04-22 20:50:00-05:00	2024-04-22 22:10:00-05:00	2024-04-23 16:00:00-05:00	2024-04-22 20:50:00-05:00
2024-04-23 03:10:00-05:00	-1	2024-04-23 03:15:00-05:00	2024-04-23 03:15:00-05:00	2024-04-23 03:55:00-05:00	2024-04-23 16:00:00-05:00	2024-04-23 03:15:00-05:00
2024-04-23 05:00:00-05:00	1	2024-04-23 05:05:00-05:00	2024-04-23 05:05:00-05:00	2024-04-23 09:35:00-05:00	2024-04-23 16:00:00-05:00	2024-04-23 05:05:00-05:00
2024-04-23 10:15:00-05:00	-1	2024-04-23 10:20:00-05:00	2024-04-23 10:20:00-05:00	2024-04-25 08:10:00-05:00	2024-04-23 16:00:00-05:00	2024-04-23 10:20:00-05:00
2024-04-24 02:20:00-05:00	1	2024-04-24 02:25:00-05:00	2024-04-24 02:40:00-05:00	2024-04-25 13:30:00-05:00	2024-04-24 16:00:00-05:00	2024-04-24 02:40:00-05:00
2024-04-30 02:25:00-05:00	-1	2024-04-30 02:30:00-05:00	2024-04-30 02:30:00-05:00	2024-04-30 08:10:00-05:00	2024-04-30 16:00:00-05:00	2024-04-30 02:30:00-05:00
2024-04-30 07:00:00-05:00	1	2024-04-30 08:20:00-05:00	2024-04-30 08:20:00-05:00	2024-04-30 08:20:00-05:00	2024-04-30 16:00:00-05:00	2024-04-30 08:20:00-05:00
2024-05-02 12:25:00-05:00	-1	2024-05-02 12:30:00-05:00	2024-05-02 13:05:00-05:00	2024-05-02 12:40:00-05:00	2024-05-02 16:00:00-05:00	2024-05-02 12:40:00-05:00
2024-05-06 04:15:00-05:00	-1	2024-05-06 05:00:00-05:00	2024-05-06 06:55:00-05:00	2024-05-06 06:25:00-05:00	2024-05-06 16:00:00-05:00	2024-05-06 06:25:00-05:00
2024-05-10 10:05:00-05:00	1	2024-05-10 10:10:00-05:00	2024-05-10 10:10:00-05:00	2024-05-16 08:20:00-05:00	2024-05-10 16:00:00-05:00	2024-05-10 10:10:00-05:00
2024-05-15 11:10:00-05:00	-1	2024-05-15 11:15:00-05:00	2024-05-15 12:15:00-05:00	2024-05-15 11:20:00-05:00	2024-05-15 16:00:00-05:00	2024-05-15 11:20:00-05:00
2024-05-15 19:10:00-05:00	1	2024-05-23 12:15:00-05:00	2024-05-24 04:25:00-05:00	2024-05-23 13:25:00-05:00	2024-05-23 16:00:00-05:00	2024-05-23 13:25:00-05:00
2024-05-29 08:00:00-05:00	1	2024-05-29 08:05:00-05:00	2024-05-29 08:35:00-05:00	2024-06-17 13:30:00-05:00	2024-05-29 16:00:00-05:00	2024-05-29 08:35:00-05:00
2024-06-06 02:05:00-05:00	1	2024-06-06 02:10:00-05:00	2024-06-06 03:20:00-05:00	2024-06-06 10:10:00-05:00	2024-06-06 16:00:00-05:00	2024-06-06 03:20:00-05:00
2024-06-07 08:05:00-05:00	1	2024-06-07 08:10:00-05:00	2024-06-07 10:25:00-05:00	2024-06-10 07:15:00-05:00	2024-06-07 16:00:00-05:00	2024-06-07 10:25:00-05:00
