	signal	signal_dt	position	entry_price	entry_dt	exit_price	exit_dt	exit_method
0	L	2024-06-06 02:05:00-05:00	357.0	74.7	2024-06-06 02:10:00-05:00	74.56	2024-06-06 03:20:00-05:00	Stop Loss
1	L	2024-06-07 08:45:00-05:00	185.0	75.72	2024-06-07 09:35:00-05:00	75.45	2024-06-07 10:25:00-05:00	Stop Loss
2	S	2024-06-09 17:40:00-05:00	-625.0	75.43	2024-06-09 19:00:00-05:00	75.51	2024-06-09 19:30:00-05:00	Stop Loss
3	S	2024-06-11 08:30:00-05:00	-278.0	77.66	2024-06-11 10:05:00-05:00	77.84	2024-06-11 10:20:00-05:00	Stop Loss
4	L	2024-06-12 07:35:00-05:00	417.0	78.95	2024-06-12 07:40:00-05:00	79.25000000000001	2024-06-12 08:30:00-05:00	Profit Target
5	S	2024-06-13 00:15:00-05:00	-1667.0	78.34	2024-06-13 02:50:00-05:00	78.37	2024-06-13 02:50:00-05:00	Stop Loss
6	S	2024-06-13 03:35:00-05:00	-500.0	78.31	2024-06-13 08:00:00-05:00	78.41	2024-06-13 08:05:00-05:00	Stop Loss
7	L	2024-06-13 11:30:00-05:00	385.0	78.38	2024-06-13 13:40:00-05:00	78.25	2024-06-13 14:30:00-05:00	Stop Loss
8	L	2024-06-13 17:45:00-05:00	1250.0	77.78	2024-06-13 17:55:00-05:00	77.74	2024-06-13 19:25:00-05:00	Stop Loss
9	L	2024-06-14 04:05:00-05:00	625.0	78.23	2024-06-14 05:10:00-05:00	78.43	2024-06-14 05:25:00-05:00	Profit Target
10	L	2024-06-16 20:30:00-05:00	333.0	77.84	2024-06-16 21:05:00-05:00	77.69	2024-06-17 00:50:00-05:00	Stop Loss
11	L	2024-06-17 06:00:00-05:00	278.0	78.07	2024-06-17 06:05:00-05:00	78.51999999999998	2024-06-17 07:25:00-05:00	Profit Target
12	S	2024-06-18 03:20:00-05:00	-417.0	79.51	2024-06-18 04:45:00-05:00	79.63	2024-06-18 05:00:00-05:00	Stop Loss
13	L	2024-06-18 15:35:00-05:00	238.0	80.85	2024-06-18 15:40:00-05:00	80.78	2024-06-18 15:55:00-05:00	EOD
14	L	2024-06-18 19:30:00-05:00	714.0	80.8	2024-06-18 19:40:00-05:00	80.73	2024-06-18 20:05:00-05:00	Stop Loss
15	S	2024-06-19 01:10:00-05:00	-833.0	80.73	2024-06-19 05:55:00-05:00	80.79	2024-06-19 06:30:00-05:00	Stop Loss
16	L	2024-06-19 06:35:00-05:00	714.0	80.79	2024-06-19 06:40:00-05:00	80.72	2024-06-19 07:05:00-05:00	Stop Loss
17	L	2024-06-19 08:45:00-05:00	385.0	80.86	2024-06-19 08:50:00-05:00	80.73	2024-06-19 09:00:00-05:00	Stop Loss
18	L	2024-06-19 09:15:00-05:00	333.0	80.9	2024-06-19 09:35:00-05:00	80.75	2024-06-19 10:35:00-05:00	Stop Loss
19	S	2024-06-19 22:40:00-05:00	-1250.0	80.56	2024-06-19 23:25:00-05:00	80.6	2024-06-20 00:40:00-05:00	Stop Loss
20	L	2024-06-20 02:10:00-05:00	625.0	80.64	2024-06-20 02:15:00-05:00	80.56	2024-06-20 02:30:00-05:00	Stop Loss
21	L	2024-06-20 03:35:00-05:00	227.0	80.78	2024-06-20 03:40:00-05:00	80.56	2024-06-20 04:05:00-05:00	Stop Loss
22	L	2024-06-20 04:35:00-05:00	455.0	80.72	2024-06-20 04:45:00-05:00	80.995	2024-06-20 07:50:00-05:00	Profit Target
23	S	2024-06-21 05:05:00-05:00	-455.0	81.26	2024-06-21 05:15:00-05:00	81.37	2024-06-21 07:30:00-05:00	Stop Loss
24	L	2024-06-21 09:30:00-05:00	263.0	81.4	2024-06-21 10:05:00-05:00	81.21	2024-06-21 10:15:00-05:00	Stop Loss
25	L	2024-06-23 17:05:00-05:00	167.0	80.69	2024-06-23 17:10:00-05:00	80.39	2024-06-23 18:00:00-05:00	Stop Loss
26	L	2024-06-23 19:50:00-05:00	1250.0	80.27	2024-06-24 08:20:00-05:00	80.36999999999998	2024-06-24 08:20:00-05:00	Profit Target
27	S	2024-06-24 13:50:00-05:00	-714.0	81.71	2024-06-24 14:45:00-05:00	81.75	2024-06-24 15:55:00-05:00	EOD
28	S	2024-06-25 01:20:00-05:00	-1000.0	81.66	2024-06-25 01:30:00-05:00	81.71	2024-06-25 02:05:00-05:00	Stop Loss
29	S	2024-06-25 02:45:00-05:00	-556.0	81.51	2024-06-25 02:50:00-05:00	81.6	2024-06-25 03:00:00-05:00	Stop Loss
30	S	2024-06-25 03:45:00-05:00	-714.0	81.55	2024-06-25 09:30:00-05:00	81.37499999999997	2024-06-25 09:45:00-05:00	Profit Target
31	S	2024-06-25 10:25:00-05:00	-192.0	81.56	2024-06-26 04:35:00-05:00	80.91000000000003	2024-06-26 08:00:00-05:00	Profit Target
32	L	2024-06-27 02:35:00-05:00	714.0	80.88	2024-06-27 02:40:00-05:00	81.05499999999998	2024-06-27 02:50:00-05:00	Profit Target
33	S	2024-06-27 05:15:00-05:00	-556.0	81.52	2024-06-27 07:00:00-05:00	81.61	2024-06-27 07:55:00-05:00	Stop Loss
34	L	2024-06-27 10:20:00-05:00	357.0	81.72	2024-06-27 10:25:00-05:00	81.58	2024-06-27 10:40:00-05:00	Stop Loss
35	L	2024-06-27 11:50:00-05:00	500.0	81.25	2024-06-28 09:00:00-05:00	81.49999999999999	2024-06-28 09:00:00-05:00	Profit Target
