	signal	signal_dt	position	entry_price	entry_dt	exit_price	exit_dt	exit_method
0	S	2024-01-02 17:15:00-06:00	-25.0	4912.5	2024-01-02 17:55:00-06:00	4908.5	2024-01-02 20:25:00-06:00	Profit Target
1	S	2024-01-04 08:20:00-06:00	-13.0	4874.5	2024-01-04 09:00:00-06:00	4878.25	2024-01-04 09:05:00-06:00	Stop Loss
2	S	2024-01-04 10:50:00-06:00	-13.0	4886.5	2024-01-08 10:45:00-06:00	4890.25	2024-01-08 11:00:00-06:00	Stop Loss
3	L	2024-01-10 06:20:00-06:00	22.0	4915.0	2024-01-10 07:00:00-06:00	4912.75	2024-01-10 08:00:00-06:00	Stop Loss
4	S	2024-01-10 14:45:00-06:00	-14.0	4948.75	2024-01-10 18:45:00-06:00	4952.25	2024-01-10 20:15:00-06:00	Stop Loss
5	S	2024-01-11 09:00:00-06:00	-8.0	4950.0	2024-01-12 08:25:00-06:00	4956.0	2024-01-12 08:35:00-06:00	Stop Loss
6	L	2024-01-12 11:50:00-06:00	7.0	4933.0	2024-01-12 14:20:00-06:00	4935.0	2024-01-12 15:55:00-06:00	EOD
7	S	2024-01-16 08:40:00-06:00	-6.0	4921.0	2024-01-16 09:00:00-06:00	4929.25	2024-01-16 09:20:00-06:00	Stop Loss
8	L	2024-01-16 12:15:00-06:00	13.0	4914.5	2024-01-16 12:45:00-06:00	4910.75	2024-01-16 12:50:00-06:00	Stop Loss
9	S	2024-01-17 17:00:00-06:00	-10.0	4893.0	2024-01-17 17:15:00-06:00	4898.0	2024-01-18 02:15:00-06:00	Stop Loss
10	S	2024-01-18 19:15:00-06:00	-6.0	4932.75	2024-01-18 19:20:00-06:00	4940.75	2024-01-19 01:15:00-06:00	Stop Loss
11	S	2024-01-22 01:00:00-06:00	-50.0	5004.75	2024-01-22 01:15:00-06:00	5005.75	2024-01-22 01:15:00-06:00	Stop Loss
12	L	2024-01-22 04:10:00-06:00	25.0	5008.0	2024-01-22 04:15:00-06:00	5012.0	2024-01-22 06:25:00-06:00	Profit Target
13	S	2024-01-23 04:00:00-06:00	-29.0	5005.0	2024-01-23 04:25:00-06:00	5006.75	2024-01-23 06:00:00-06:00	Stop Loss
14	S	2024-01-23 08:30:00-06:00	-33.0	5014.0	2024-01-23 13:55:00-06:00	5015.5	2024-01-23 14:10:00-06:00	Stop Loss
15	L	2024-01-25 03:30:00-06:00	33.0	5022.5	2024-01-25 04:05:00-06:00	5025.5	2024-01-25 04:35:00-06:00	Profit Target
16	L	2024-01-25 13:55:00-06:00	11.0	5025.0	2024-01-25 22:50:00-06:00	5034.0	2024-01-26 03:40:00-06:00	Profit Target
17	L	2024-01-28 18:50:00-06:00	6.0	5034.0	2024-01-28 18:55:00-06:00	5051.0	2024-01-29 11:40:00-06:00	Profit Target
18	L	2024-01-30 12:15:00-06:00	8.0	5071.25	2024-01-30 12:20:00-06:00	5065.25	2024-01-30 15:00:00-06:00	Stop Loss
