	signal	signal_dt	position	entry_price	entry_dt	exit_price	exit_dt	exit_method
0	S	2024-01-29 17:20:00-06:00	-18.0	2119.0	2024-01-29 18:20:00-06:00	2121.7999999999997	2024-01-30 00:10:00-06:00	Stop Loss
1	L	2024-01-30 07:50:00-06:00	11.0	2120.7	2024-01-30 09:15:00-06:00	2116.2999999999997	2024-01-30 09:20:00-06:00	Stop Loss
2	S	2024-02-01 22:40:00-06:00	-50.0	2140.2	2024-02-01 22:55:00-06:00	2141.2	2024-02-01 23:20:00-06:00	Stop Loss
3	S	2024-02-05 13:55:00-06:00	-28.0	2110.2	2024-02-05 14:00:00-06:00	2109.7	2024-02-05 15:55:00-06:00	EOD
4	L	2024-02-06 01:10:00-06:00	71.0	2110.7999999999997	2024-02-06 01:30:00-06:00	2110.1	2024-02-06 02:00:00-06:00	Stop Loss
5	S	2024-02-07 00:20:00-06:00	-42.0	2117.2	2024-02-07 00:45:00-06:00	2118.4	2024-02-07 01:15:00-06:00	Stop Loss
6	S	2024-02-07 02:30:00-06:00	-56.0	2119.5	2024-02-07 05:30:00-06:00	2117.7	2024-02-07 05:50:00-06:00	Profit Target
7	L	2024-02-07 17:55:00-06:00	125.0	2118.0	2024-02-07 21:20:00-06:00	2117.6	2024-02-07 21:25:00-06:00	Stop Loss
8	L	2024-02-08 08:25:00-06:00	23.0	2104.9	2024-02-09 09:25:00-06:00	2102.7	2024-02-09 10:00:00-06:00	Stop Loss
9	S	2024-02-12 01:10:00-06:00	-56.0	2105.7999999999997	2024-02-12 01:20:00-06:00	2106.7	2024-02-12 01:25:00-06:00	Stop Loss
10	S	2024-02-12 07:45:00-06:00	-20.0	2104.5	2024-02-13 00:45:00-06:00	2107.0	2024-02-13 01:45:00-06:00	Stop Loss
11	S	2024-02-14 05:25:00-06:00	-50.0	2073.4	2024-02-14 05:40:00-06:00	2071.4	2024-02-14 06:20:00-06:00	Profit Target
12	L	2024-02-16 04:40:00-06:00	100.0	2085.0	2024-02-16 07:30:00-06:00	2084.5	2024-02-16 07:30:00-06:00	Stop Loss
13	L	2024-02-19 11:25:00-06:00	22.0	2094.5	2024-02-19 18:20:00-06:00	2099.1000000000004	2024-02-20 00:30:00-06:00	Profit Target
14	S	2024-02-20 08:30:00-06:00	-33.0	2109.2999999999997	2024-02-20 09:00:00-06:00	2106.2999999999997	2024-02-20 09:35:00-06:00	Profit Target
15	L	2024-02-22 05:45:00-06:00	36.0	2106.6	2024-02-22 06:20:00-06:00	2105.2	2024-02-22 07:15:00-06:00	Stop Loss
16	L	2024-02-22 19:05:00-06:00	17.0	2103.2999999999997	2024-02-22 19:25:00-06:00	2100.4	2024-02-22 23:40:00-06:00	Stop Loss
17	L	2024-02-23 01:50:00-06:00	42.0	2096.7999999999997	2024-02-23 02:40:00-06:00	2095.6	2024-02-23 03:15:00-06:00	Stop Loss
18	L	2024-02-26 04:05:00-06:00	62.0	2110.5	2024-02-26 04:40:00-06:00	2109.7	2024-02-26 04:50:00-06:00	Stop Loss
19	S	2024-02-26 08:05:00-06:00	-45.0	2111.2	2024-02-26 14:25:00-06:00	2109.0	2024-02-26 15:30:00-06:00	Profit Target
20	S	2024-02-28 08:50:00-06:00	-14.0	2112.0	2024-02-28 11:05:00-06:00	2111.6	2024-02-28 15:55:00-06:00	EOD
21	L	2024-02-29 00:15:00-06:00	83.0	2111.2999999999997	2024-02-29 03:35:00-06:00	2110.7	2024-02-29 03:45:00-06:00	Stop Loss
22	L	2024-03-04 07:30:00-06:00	31.0	2159.2999999999997	2024-03-04 07:35:00-06:00	2162.4999999999995	2024-03-04 07:45:00-06:00	Profit Target
23	L	2024-03-05 11:25:00-06:00	9.0	2204.1	2024-03-05 15:35:00-06:00	2204.5	2024-03-05 15:55:00-06:00	EOD
24	S	2024-03-07 10:05:00-06:00	-25.0	2230.2	2024-03-07 10:20:00-06:00	2232.2	2024-03-07 10:25:00-06:00	Stop Loss
25	L	2024-03-07 18:30:00-06:00	36.0	2236.7999999999997	2024-03-07 18:40:00-06:00	2235.4	2024-03-07 18:45:00-06:00	Stop Loss
26	S	2024-03-08 01:05:00-06:00	-33.0	2235.6	2024-03-08 01:10:00-06:00	2237.1	2024-03-08 01:45:00-06:00	Stop Loss
27	L	2024-03-08 07:35:00-06:00	2.0	2258.9	2024-03-08 07:40:00-06:00	2254.2999999999997	2024-03-08 15:55:00-06:00	EOD
