Time,Open,High,Low,Close,Volume
2009-12-01T06:00:00+0000,79.77,81.52,79.64,80.94,45555
2009-12-02T06:00:00+0000,80.73,81.1,78.94,79.45,46839
2009-12-03T06:00:00+0000,79.4,80.5,78.75,79.65,54235
2009-12-04T06:00:00+0000,79.12,81.02,78.08,78.72,55510
2009-12-07T06:00:00+0000,78.76,79.36,77.35,77.55,78024
2009-12-08T06:00:00+0000,77.6,78.09,75.9,76.14,104223
2009-12-09T06:00:00+0000,76.37,77.07,73.41,73.92,116502
2009-12-10T06:00:00+0000,74.0,74.55,72.9,73.68,83728
2009-12-11T06:00:00+0000,73.55,74.33,72.75,73.54,77542
2009-12-14T06:00:00+0000,73.27,74.08,72.45,73.46,69677
2009-12-15T06:00:00+0000,73.64,74.56,73.26,73.93,75950
2009-12-16T06:00:00+0000,74.25,75.88,73.91,75.32,89554
2009-12-17T06:00:00+0000,75.52,75.94,73.73,74.89,79929
2009-12-18T06:00:00+0000,74.68,76.33,74.37,75.23,75977
2009-12-21T06:00:00+0000,74.97,76.09,74.01,74.55,55347
2009-12-22T06:00:00+0000,74.28,75.6,73.52,75.06,61048
2009-12-23T06:00:00+0000,75.19,77.58,74.92,77.25,77544
2009-12-24T06:00:00+0000,77.18,78.84,76.78,78.66,28130
2009-12-28T06:00:00+0000,78.6,79.74,78.43,79.45,36014
2009-12-29T06:00:00+0000,79.4,80.11,78.78,79.59,46354
2009-12-30T06:00:00+0000,79.5,80.49,79.21,80.03,61559
2009-12-31T06:00:00+0000,80.03,80.71,79.87,80.02,47513
2010-01-04T06:00:00+0000,80.34,82.28,80.34,82.12,96295
2010-01-05T06:00:00+0000,82.23,82.64,81.62,82.41,95556
2010-01-06T06:00:00+0000,82.17,84.08,81.5,83.75,139178
2010-01-07T06:00:00+0000,83.81,83.93,82.81,83.19,112493
2010-01-08T06:00:00+0000,83.22,83.98,82.4,83.3,120793
2010-01-11T06:00:00+0000,83.37,84.45,82.44,83.01,130542
2010-01-12T06:00:00+0000,82.69,82.82,80.29,81.17,164315
2010-01-13T06:00:00+0000,80.46,81.01,78.8,80.04,216845
2010-01-14T06:00:00+0000,79.97,80.75,79.32,79.88,197449
2010-01-15T06:00:00+0000,79.73,79.75,78.09,78.37,190088
2010-01-19T06:00:00+0000,78.21,79.47,77.06,79.32,351108
2010-01-20T06:00:00+0000,79.17,79.36,77.27,77.74,303758
2010-01-21T06:00:00+0000,77.56,78.36,75.66,76.08,327417
2010-01-22T06:00:00+0000,75.84,76.5,74.01,74.54,348819
2010-01-25T06:00:00+0000,74.24,75.42,74.06,75.26,280559
2010-01-26T06:00:00+0000,75.28,75.39,73.82,74.71,256207
2010-01-27T06:00:00+0000,74.69,75.09,72.65,73.67,356179
2010-01-28T06:00:00+0000,73.75,74.49,72.93,73.64,292911
2010-01-29T06:00:00+0000,73.89,74.82,72.43,72.89,335270
2010-02-01T06:00:00+0000,72.84,74.99,72.49,74.43,277411
2010-02-02T06:00:00+0000,74.94,77.41,74.4,77.23,366269
2010-02-03T06:00:00+0000,76.99,78.04,76.52,76.98,391294
2010-02-04T06:00:00+0000,77.09,77.17,72.42,73.14,523892
2010-02-05T06:00:00+0000,73.04,73.94,69.5,71.19,596142
2010-02-08T06:00:00+0000,72.18,72.39,70.77,71.89,345638
2010-02-09T06:00:00+0000,71.68,74.15,71.32,73.75,429845
2010-02-10T06:00:00+0000,73.79,74.97,72.6,74.52,422057
2010-02-11T06:00:00+0000,74.65,75.69,73.38,75.28,464441
2010-02-12T06:00:00+0000,75.3,75.35,72.66,74.13,335805
2010-02-16T06:00:00+0000,74.02,77.42,73.71,77.01,365032
2010-02-17T06:00:00+0000,77.32,77.82,76.53,77.33,283816
2010-02-18T06:00:00+0000,77.29,79.29,76.32,79.06,274169
2010-02-19T06:00:00+0000,78.37,80.1,77.76,79.81,183234
2010-02-22T06:00:00+0000,80.1,80.51,79.45,80.16,0
