Time,Open,High,Low,Close,Volume,index
2015-03-02T06:00:00+0000,53.47,53.53,53.46,53.48,32,2015-03-02T06:00:00+0000
2015-03-02T07:00:00+0000,53.47,53.47,53.19,53.21,51,2015-03-02T07:00:00+0000
2015-03-02T08:00:00+0000,53.17,53.32,53.11,53.3,77,2015-03-02T08:00:00+0000
2015-03-02T09:00:00+0000,53.3,53.39,53.14,53.37,74,2015-03-02T09:00:00+0000
2015-03-02T10:00:00+0000,53.43,53.44,53.15,53.29,136,2015-03-02T10:00:00+0000
2015-03-02T11:00:00+0000,53.34,53.34,52.76,52.76,249,2015-03-02T11:00:00+0000
2015-03-02T12:00:00+0000,52.75,53.02,52.72,52.94,212,2015-03-02T12:00:00+0000
2015-03-02T13:00:00+0000,52.9,53.17,52.88,53.11,665,2015-03-02T13:00:00+0000
2015-03-02T14:00:00+0000,53.11,53.22,52.86,52.97,1930,2015-03-02T14:00:00+0000
2015-03-02T15:00:00+0000,53.02,54.15,53.02,54.13,2681,2015-03-02T15:00:00+0000
2015-03-02T16:00:00+0000,54.15,54.55,53.83,53.84,2897,2015-03-02T16:00:00+0000
2015-03-02T17:00:00+0000,53.82,54.18,53.57,53.85,1187,2015-03-02T17:00:00+0000
2015-03-02T18:00:00+0000,53.87,54.02,53.46,53.5,995,2015-03-02T18:00:00+0000
2015-03-02T19:00:00+0000,53.51,53.59,52.87,53.03,1747,2015-03-02T19:00:00+0000
2015-03-02T20:00:00+0000,53.06,53.22,53.06,53.18,381,2015-03-02T20:00:00+0000
2015-03-02T21:00:00+0000,53.2,53.25,53.15,53.18,43,2015-03-02T21:00:00+0000
2015-03-02T22:00:00+0000,53.23,53.23,53.19,53.21,27,2015-03-02T22:00:00+0000
2015-03-02T23:00:00+0000,53.21,53.21,53.19,53.19,5,2015-03-02T23:00:00+0000
2015-03-03T00:00:00+0000,53.29,53.29,53.29,53.29,2,2015-03-03T00:00:00+0000
2015-03-03T01:00:00+0000,53.26,53.34,53.22,53.25,60,2015-03-03T01:00:00+0000
2015-03-03T02:00:00+0000,53.22,53.25,53.2,53.24,13,2015-03-03T02:00:00+0000
2015-03-03T03:00:00+0000,53.3,53.34,53.29,53.31,19,2015-03-03T03:00:00+0000
2015-03-03T04:00:00+0000,53.29,53.39,53.29,53.39,17,2015-03-03T04:00:00+0000
2015-03-03T05:00:00+0000,53.33,53.48,53.33,53.45,21,2015-03-03T05:00:00+0000
2015-03-03T06:00:00+0000,53.43,53.49,53.3,53.3,20,2015-03-03T06:00:00+0000
2015-03-03T07:00:00+0000,53.32,53.43,53.23,53.37,43,2015-03-03T07:00:00+0000
2015-03-03T08:00:00+0000,53.4,53.48,53.28,53.37,60,2015-03-03T08:00:00+0000
2015-03-03T09:00:00+0000,53.43,53.71,53.43,53.69,99,2015-03-03T09:00:00+0000
2015-03-03T10:00:00+0000,53.71,53.92,53.7,53.77,176,2015-03-03T10:00:00+0000
2015-03-03T11:00:00+0000,53.78,53.85,53.65,53.84,84,2015-03-03T11:00:00+0000
2015-03-03T12:00:00+0000,53.79,54.22,53.4,53.5,462,2015-03-03T12:00:00+0000
2015-03-03T13:00:00+0000,53.49,53.63,53.4,53.4,401,2015-03-03T13:00:00+0000
2015-03-03T14:00:00+0000,53.38,53.67,53.15,53.37,1256,2015-03-03T14:00:00+0000
2015-03-03T15:00:00+0000,53.44,53.87,53.29,53.5,1395,2015-03-03T15:00:00+0000
2015-03-03T16:00:00+0000,53.49,54.19,53.41,53.86,1185,2015-03-03T16:00:00+0000
2015-03-03T17:00:00+0000,53.83,54.15,53.68,53.89,1179,2015-03-03T17:00:00+0000
2015-03-03T18:00:00+0000,53.89,54.22,53.43,53.5,1321,2015-03-03T18:00:00+0000
2015-03-03T19:00:00+0000,53.52,54.14,53.47,53.99,1084,2015-03-03T19:00:00+0000
2015-03-03T20:00:00+0000,53.96,54.0,53.84,53.86,165,2015-03-03T20:00:00+0000
2015-03-03T21:00:00+0000,53.88,54.2,53.83,54.03,185,2015-03-03T21:00:00+0000
2015-03-03T22:00:00+0000,54.03,54.12,54.0,54.12,68,2015-03-03T22:00:00+0000
2015-03-03T23:00:00+0000,54.11,54.11,53.83,53.87,63,2015-03-03T23:00:00+0000
2015-03-04T00:00:00+0000,53.88,53.89,53.8,53.89,11,2015-03-04T00:00:00+0000
2015-03-04T01:00:00+0000,53.85,54.02,53.85,53.93,62,2015-03-04T01:00:00+0000
2015-03-04T02:00:00+0000,53.94,53.99,53.88,53.88,14,2015-03-04T02:00:00+0000
2015-03-04T03:00:00+0000,53.89,53.97,53.89,53.93,13,2015-03-04T03:00:00+0000
2015-03-04T04:00:00+0000,53.92,53.92,53.84,53.85,32,2015-03-04T04:00:00+0000
2015-03-04T05:00:00+0000,53.84,53.9,53.83,53.84,13,2015-03-04T05:00:00+0000
2015-03-04T06:00:00+0000,53.85,53.9,53.78,53.81,33,2015-03-04T06:00:00+0000
2015-03-04T07:00:00+0000,53.82,53.95,53.78,53.9,26,2015-03-04T07:00:00+0000
2015-03-04T08:00:00+0000,53.82,54.17,53.72,54.07,168,2015-03-04T08:00:00+0000
2015-03-04T09:00:00+0000,54.06,54.21,53.95,54.07,62,2015-03-04T09:00:00+0000
2015-03-04T10:00:00+0000,54.16,54.18,53.99,54.13,55,2015-03-04T10:00:00+0000
2015-03-04T11:00:00+0000,54.01,54.12,53.9,54.01,139,2015-03-04T11:00:00+0000
2015-03-04T12:00:00+0000,54.02,54.46,54.02,54.22,732,2015-03-04T12:00:00+0000
2015-03-04T13:00:00+0000,54.24,54.38,53.95,54.09,299,2015-03-04T13:00:00+0000
2015-03-04T14:00:00+0000,54.03,54.17,53.62,53.62,1593,2015-03-04T14:00:00+0000
2015-03-04T15:00:00+0000,53.61,53.83,53.05,53.31,2146,2015-03-04T15:00:00+0000
2015-03-04T16:00:00+0000,53.27,53.39,53.03,53.23,934,2015-03-04T16:00:00+0000
2015-03-04T17:00:00+0000,53.17,53.92,53.09,53.69,2062,2015-03-04T17:00:00+0000
2015-03-04T18:00:00+0000,53.63,54.11,53.51,54.07,1901,2015-03-04T18:00:00+0000
2015-03-04T19:00:00+0000,54.07,54.88,54.07,54.56,3288,2015-03-04T19:00:00+0000
2015-03-04T20:00:00+0000,54.58,54.75,54.47,54.5,737,2015-03-04T20:00:00+0000
2015-03-04T21:00:00+0000,54.51,54.58,54.45,54.49,239,2015-03-04T21:00:00+0000
2015-03-04T22:00:00+0000,54.52,54.52,54.46,54.46,50,2015-03-04T22:00:00+0000
2015-03-04T23:00:00+0000,54.46,54.5,54.46,54.5,12,2015-03-04T23:00:00+0000
2015-03-05T00:00:00+0000,54.49,54.49,54.43,54.43,29,2015-03-05T00:00:00+0000
