Time,Open,High,Low,Close,Volume
2022-08-02T05:00:00+0000,90.68,90.8,90.48,90.66,46
2022-08-02T06:00:00+0000,90.66,91.82,90.54,91.81,164
2022-08-02T07:00:00+0000,91.72,91.72,90.74,91.36,333
2022-08-02T08:00:00+0000,91.24,91.24,90.26,91.18,262
2022-08-02T09:00:00+0000,91.16,91.34,90.81,90.87,174
2022-08-02T10:00:00+0000,90.77,91.06,90.33,91.01,263
2022-08-02T11:00:00+0000,91.01,92.23,90.98,92.01,790
2022-08-02T12:00:00+0000,91.99,92.2,91.44,91.92,535
2022-08-02T13:00:00+0000,91.98,92.8,91.14,92.11,1495
2022-08-02T14:00:00+0000,92.08,92.54,91.33,91.46,1013
2022-08-02T15:00:00+0000,91.44,92.92,91.38,92.53,887
2022-08-02T16:00:00+0000,92.54,93.56,92.48,93.44,794
2022-08-02T17:00:00+0000,93.47,94.01,92.98,93.01,821
2022-08-02T18:00:00+0000,93.05,93.06,92.03,92.31,1588
2022-08-02T19:00:00+0000,92.28,92.29,91.92,92.08,207
2022-08-02T20:00:00+0000,92.08,92.08,91.51,91.68,112
2022-08-02T22:00:00+0000,91.63,91.68,91.47,91.62,18
2022-08-02T23:00:00+0000,91.68,91.76,91.66,91.76,12
2022-08-03T00:00:00+0000,91.56,91.68,91.39,91.56,16
2022-08-03T01:00:00+0000,91.79,92.47,91.79,92.46,62
2022-08-03T02:00:00+0000,92.49,92.51,91.94,91.98,57
2022-08-03T03:00:00+0000,92.09,92.14,91.9,91.9,17
2022-08-03T04:00:00+0000,91.89,91.95,91.79,91.85,35
2022-08-03T05:00:00+0000,91.89,92.46,91.84,92.3,63
2022-08-03T06:00:00+0000,92.32,92.38,91.84,91.84,67
2022-08-03T07:00:00+0000,91.84,92.1,91.44,91.45,332
2022-08-03T08:00:00+0000,91.5,91.93,91.06,91.3,450
2022-08-03T09:00:00+0000,91.27,91.73,91.08,91.59,212
2022-08-03T10:00:00+0000,91.69,91.94,91.42,91.5,189
2022-08-03T11:00:00+0000,91.55,93.82,91.46,93.63,610
2022-08-03T12:00:00+0000,93.64,94.32,93.61,94.03,745
2022-08-03T13:00:00+0000,94.03,94.1,92.23,92.52,1888
2022-08-03T14:00:00+0000,92.48,92.73,90.5,90.72,1837
2022-08-03T15:00:00+0000,90.68,90.96,90.02,90.13,1758
2022-08-03T16:00:00+0000,90.12,90.12,89.36,89.89,1360
2022-08-03T17:00:00+0000,89.88,90.18,89.39,89.81,962
2022-08-03T18:00:00+0000,89.81,89.92,88.8,89.22,1996
2022-08-03T19:00:00+0000,89.18,89.41,89.08,89.1,189
2022-08-03T20:00:00+0000,89.05,89.41,88.98,89.36,80
2022-08-03T22:00:00+0000,89.47,89.51,89.34,89.44,33
2022-08-03T23:00:00+0000,89.56,89.66,89.5,89.5,15
2022-08-04T00:00:00+0000,89.36,89.76,89.36,89.76,25
2022-08-04T01:00:00+0000,89.6,89.81,88.97,89.52,62
2022-08-04T02:00:00+0000,89.81,89.81,89.37,89.37,8
2022-08-04T03:00:00+0000,89.48,89.48,89.2,89.32,22
2022-08-04T04:00:00+0000,89.32,89.44,89.14,89.34,28
2022-08-04T05:00:00+0000,89.39,89.46,89.03,89.03,34
2022-08-04T06:00:00+0000,88.97,89.25,88.74,89.13,112
2022-08-04T07:00:00+0000,89.12,89.52,88.64,89.19,286
2022-08-04T08:00:00+0000,89.13,89.6,89.01,89.25,234
2022-08-04T09:00:00+0000,89.15,89.94,88.72,89.87,199
2022-08-04T10:00:00+0000,89.86,90.11,89.56,89.69,251
2022-08-04T11:00:00+0000,89.86,89.88,89.08,89.44,473
2022-08-04T12:00:00+0000,89.47,89.68,88.85,89.22,654
2022-08-04T13:00:00+0000,89.28,89.37,87.65,88.17,2004
2022-08-04T14:00:00+0000,88.23,88.76,87.29,87.43,1615
2022-08-04T15:00:00+0000,87.44,87.62,86.23,86.39,1920
2022-08-04T16:00:00+0000,86.31,86.7,85.94,86.29,1270
2022-08-04T17:00:00+0000,86.25,86.99,86.23,86.72,947
2022-08-04T18:00:00+0000,86.74,87.09,86.55,86.58,1582
2022-08-04T19:00:00+0000,86.62,86.76,86.26,86.67,414
2022-08-04T20:00:00+0000,86.67,86.75,85.91,86.07,134
2022-08-04T22:00:00+0000,86.33,86.4,86.2,86.25,47
2022-08-04T23:00:00+0000,86.26,86.28,86.16,86.27,13
2022-08-05T00:00:00+0000,86.37,86.76,86.37,86.74,41
2022-08-05T01:00:00+0000,86.82,87.26,86.54,87.26,111
2022-08-05T02:00:00+0000,87.18,87.28,87.1,87.14,47
2022-08-05T03:00:00+0000,87.15,87.19,87.0,87.04,33
2022-08-05T04:00:00+0000,87.12,87.24,87.1,87.12,29
2022-08-05T05:00:00+0000,87.3,87.47,87.17,87.39,40
2022-08-05T06:00:00+0000,87.39,87.66,87.16,87.38,102
2022-08-05T07:00:00+0000,87.32,87.6,87.25,87.59,140
2022-08-05T08:00:00+0000,87.59,87.59,86.83,87.04,293
2022-08-05T09:00:00+0000,87.03,87.24,86.44,86.98,213
2022-08-05T10:00:00+0000,86.93,87.01,86.19,86.45,284
2022-08-05T11:00:00+0000,86.53,86.65,85.95,86.28,412
2022-08-05T12:00:00+0000,86.31,87.24,85.93,86.1,940
2022-08-05T13:00:00+0000,86.07,87.34,85.31,87.3,1959
2022-08-05T14:00:00+0000,87.29,88.68,87.0,88.67,1243
2022-08-05T15:00:00+0000,88.63,88.82,87.8,87.8,900
2022-08-05T16:00:00+0000,87.84,88.03,87.48,87.81,889
2022-08-05T17:00:00+0000,87.85,87.87,86.81,87.44,723
2022-08-05T18:00:00+0000,87.41,87.73,86.94,86.95,1117
2022-08-05T19:00:00+0000,86.94,86.95,86.43,86.73,212
2022-08-05T20:00:00+0000,86.71,86.8,86.63,86.8,95
2022-08-07T22:00:00+0000,86.73,86.97,86.43,86.47,53
2022-08-07T23:00:00+0000,86.44,86.44,86.29,86.4,26
2022-08-08T00:00:00+0000,86.4,86.66,86.4,86.66,17
2022-08-08T01:00:00+0000,86.57,87.33,86.52,87.33,201
2022-08-08T02:00:00+0000,87.36,87.54,87.07,87.4,55
2022-08-08T03:00:00+0000,87.31,87.7,87.28,87.7,41
2022-08-08T04:00:00+0000,87.83,87.95,87.32,87.53,126
2022-08-08T05:00:00+0000,87.54,87.99,87.5,87.87,33
2022-08-08T06:00:00+0000,87.88,88.2,87.83,87.99,80
2022-08-08T07:00:00+0000,88.01,88.4,87.35,87.51,218
2022-08-08T08:00:00+0000,87.44,87.64,86.55,86.74,300
2022-08-08T09:00:00+0000,86.78,87.05,86.4,86.46,132
2022-08-08T10:00:00+0000,86.63,86.66,86.13,86.48,177
2022-08-08T11:00:00+0000,86.45,86.71,85.6,86.52,444
2022-08-08T12:00:00+0000,86.48,86.85,86.19,86.31,744
2022-08-08T13:00:00+0000,86.28,87.7,85.92,87.54,1683
2022-08-08T14:00:00+0000,87.63,87.96,86.8,87.89,881
2022-08-08T15:00:00+0000,88.0,88.87,87.9,88.28,1009
2022-08-08T16:00:00+0000,88.27,88.95,88.08,88.19,910
2022-08-08T17:00:00+0000,88.17,88.72,88.17,88.53,661
2022-08-08T18:00:00+0000,88.58,89.27,88.31,88.9,1477
2022-08-08T19:00:00+0000,88.86,89.12,88.85,89.02,243
2022-08-08T20:00:00+0000,89.02,89.02,88.69,88.91,51
2022-08-08T22:00:00+0000,88.94,89.03,88.94,88.98,6
2022-08-08T23:00:00+0000,88.89,88.96,88.8,88.8,6
2022-08-09T00:00:00+0000,88.78,89.02,88.73,88.96,14
2022-08-09T01:00:00+0000,88.95,89.18,88.6,88.63,53
2022-08-09T02:00:00+0000,88.62,88.86,88.6,88.86,16
2022-08-09T03:00:00+0000,88.9,89.08,88.89,89.08,63
2022-08-09T04:00:00+0000,88.99,89.05,88.97,89.05,7
2022-08-09T05:00:00+0000,88.99,89.35,88.99,89.26,47
2022-08-09T06:00:00+0000,89.3,89.43,88.38,88.63,180
2022-08-09T07:00:00+0000,88.62,88.66,88.19,88.25,207
2022-08-09T08:00:00+0000,88.16,88.28,87.54,87.94,345
2022-08-09T09:00:00+0000,87.94,88.56,87.76,88.5,257
2022-08-09T10:00:00+0000,88.56,90.2,88.47,89.95,933
2022-08-09T11:00:00+0000,89.96,90.56,89.96,90.2,445
2022-08-09T12:00:00+0000,90.22,90.51,90.14,90.47,387
2022-08-09T13:00:00+0000,90.43,91.0,89.63,90.23,2370
2022-08-09T14:00:00+0000,90.26,90.78,89.87,90.09,809
2022-08-09T15:00:00+0000,90.09,90.14,88.71,88.83,1154
2022-08-09T16:00:00+0000,88.81,88.81,87.91,88.33,1037
2022-08-09T17:00:00+0000,88.34,89.21,88.32,89.21,442
2022-08-09T18:00:00+0000,89.21,89.36,88.67,89.02,1209
2022-08-09T19:00:00+0000,88.99,89.2,88.95,88.98,287
2022-08-09T20:00:00+0000,89.04,89.18,88.88,88.94,74
2022-08-09T22:00:00+0000,89.06,89.06,88.87,89.03,12
2022-08-09T23:00:00+0000,88.94,88.94,88.91,88.91,4
2022-08-10T00:00:00+0000,89.03,89.03,88.57,88.61,8
2022-08-10T01:00:00+0000,88.65,89.1,88.63,88.95,21
2022-08-10T02:00:00+0000,88.83,88.99,88.63,88.66,24
2022-08-10T03:00:00+0000,88.71,88.71,88.62,88.67,9
2022-08-10T04:00:00+0000,88.67,88.67,88.53,88.58,15
2022-08-10T05:00:00+0000,88.68,88.68,88.27,88.27,30
2022-08-10T06:00:00+0000,88.21,88.26,87.87,88.13,111
2022-08-10T07:00:00+0000,88.07,88.36,87.85,88.3,250
2022-08-10T08:00:00+0000,88.33,88.83,88.09,88.43,295
2022-08-10T09:00:00+0000,88.43,88.72,88.07,88.18,266
2022-08-10T10:00:00+0000,88.17,88.17,87.6,87.81,269
2022-08-10T11:00:00+0000,87.8,87.83,87.27,87.52,364
2022-08-10T12:00:00+0000,87.5,89.38,87.4,89.01,1016
2022-08-10T13:00:00+0000,89.07,89.32,87.17,87.41,1300
2022-08-10T14:00:00+0000,87.42,88.06,86.43,87.6,2605
2022-08-10T15:00:00+0000,87.59,89.21,87.36,89.19,1571
2022-08-10T16:00:00+0000,89.23,90.21,89.19,90.17,764
2022-08-10T17:00:00+0000,90.22,90.7,90.13,90.61,894
2022-08-10T18:00:00+0000,90.6,90.85,90.1,90.21,1309
2022-08-10T19:00:00+0000,90.21,90.34,89.98,90.04,211
2022-08-10T20:00:00+0000,90.02,90.23,90.02,90.12,95
2022-08-10T22:00:00+0000,90.11,90.11,89.87,89.87,8
2022-08-10T23:00:00+0000,90.09,90.22,90.07,90.22,20
2022-08-11T00:00:00+0000,90.08,90.19,89.98,90.16,15
2022-08-11T01:00:00+0000,90.16,90.43,90.04,90.19,64
2022-08-11T02:00:00+0000,90.24,90.43,90.18,90.23,57
2022-08-11T03:00:00+0000,90.32,90.46,90.32,90.32,22
2022-08-11T04:00:00+0000,90.28,90.29,90.12,90.13,25
2022-08-11T05:00:00+0000,90.08,90.46,90.07,90.41,56
2022-08-11T06:00:00+0000,90.47,90.68,90.33,90.36,105
2022-08-11T07:00:00+0000,90.36,90.55,89.9,90.25,241
2022-08-11T08:00:00+0000,90.26,91.13,90.02,90.95,428
2022-08-11T09:00:00+0000,91.05,91.61,91.03,91.55,473
2022-08-11T10:00:00+0000,91.57,91.57,91.19,91.31,229
2022-08-11T11:00:00+0000,91.33,91.64,91.06,91.52,266
2022-08-11T12:00:00+0000,91.59,92.09,91.37,91.88,740
2022-08-11T13:00:00+0000,91.94,92.41,91.51,91.54,1328
2022-08-11T14:00:00+0000,91.52,91.7,90.8,91.61,1001
2022-08-11T15:00:00+0000,91.66,92.23,91.57,92.04,974
2022-08-11T16:00:00+0000,92.09,93.17,92.09,92.78,1185
2022-08-11T17:00:00+0000,92.79,93.23,92.62,93.17,664
2022-08-11T18:00:00+0000,93.2,93.31,92.37,92.6,2273
2022-08-11T19:00:00+0000,92.59,92.59,92.17,92.47,593
2022-08-11T20:00:00+0000,92.48,92.71,92.39,92.39,91
2022-08-11T22:00:00+0000,92.53,92.57,92.43,92.43,54
2022-08-11T23:00:00+0000,92.45,92.46,92.41,92.42,17
2022-08-12T00:00:00+0000,92.45,92.57,92.27,92.38,54
2022-08-12T01:00:00+0000,92.31,92.52,92.19,92.19,39
2022-08-12T02:00:00+0000,92.19,92.4,92.1,92.35,74
2022-08-12T03:00:00+0000,92.32,92.32,92.23,92.28,12
2022-08-12T04:00:00+0000,92.23,92.32,92.19,92.19,15
2022-08-12T05:00:00+0000,92.24,92.44,92.17,92.3,48
2022-08-12T06:00:00+0000,92.34,92.59,92.25,92.41,95
2022-08-12T07:00:00+0000,92.44,92.98,92.38,92.79,307
2022-08-12T08:00:00+0000,92.86,92.96,92.31,92.46,331
2022-08-12T09:00:00+0000,92.41,93.2,92.41,93.02,310
2022-08-12T10:00:00+0000,93.04,93.04,91.57,91.65,711
2022-08-12T11:00:00+0000,91.64,91.64,91.19,91.55,470
2022-08-12T12:00:00+0000,91.51,91.61,90.96,91.18,639
2022-08-12T13:00:00+0000,91.2,91.98,90.47,91.09,1997
2022-08-12T14:00:00+0000,91.05,91.05,89.94,90.68,1705
2022-08-12T15:00:00+0000,90.71,91.42,90.49,91.24,875
2022-08-12T16:00:00+0000,91.23,91.33,90.51,90.98,878
2022-08-12T17:00:00+0000,91.01,91.23,90.7,91.21,508
2022-08-12T18:00:00+0000,91.24,91.44,90.59,90.77,1418
2022-08-12T19:00:00+0000,90.77,90.8,90.31,90.78,274
2022-08-12T20:00:00+0000,90.76,90.78,90.6,90.67,45
2022-08-14T22:00:00+0000,90.54,90.84,90.51,90.52,9
2022-08-14T23:00:00+0000,90.55,90.58,90.37,90.37,14
2022-08-15T00:00:00+0000,90.34,90.72,90.33,90.64,28
2022-08-15T01:00:00+0000,90.73,90.73,90.05,90.4,112
2022-08-15T02:00:00+0000,90.32,90.32,89.88,89.92,48
2022-08-15T03:00:00+0000,89.96,90.1,89.94,90.03,28
2022-08-15T04:00:00+0000,90.03,90.06,89.92,89.94,30
2022-08-15T05:00:00+0000,89.92,89.96,89.79,89.84,43
2022-08-15T06:00:00+0000,89.92,90.17,89.72,90.1,132
2022-08-15T07:00:00+0000,90.14,90.17,89.1,89.26,297
2022-08-15T08:00:00+0000,89.27,89.32,88.79,88.87,563
2022-08-15T09:00:00+0000,88.85,88.85,87.13,87.23,960
2022-08-15T10:00:00+0000,87.18,87.37,86.46,86.72,1112
2022-08-15T11:00:00+0000,86.68,86.8,86.12,86.57,1253
2022-08-15T12:00:00+0000,86.6,86.65,85.87,86.21,1344
2022-08-15T13:00:00+0000,86.2,86.91,86.02,86.85,2095
2022-08-15T14:00:00+0000,86.81,87.9,86.4,87.26,1526
2022-08-15T15:00:00+0000,87.28,87.68,86.93,87.53,1044
2022-08-15T16:00:00+0000,87.58,88.38,87.33,88.21,757
2022-08-15T17:00:00+0000,88.23,88.5,87.95,88.13,500
2022-08-15T18:00:00+0000,88.08,88.58,87.54,88.38,1296
2022-08-15T19:00:00+0000,88.4,88.41,87.69,87.97,261
2022-08-15T20:00:00+0000,87.98,88.04,86.92,86.93,163
2022-08-15T22:00:00+0000,86.99,87.55,86.99,87.36,58
2022-08-15T23:00:00+0000,87.39,87.4,87.2,87.4,14
2022-08-16T00:00:00+0000,87.16,87.65,87.16,87.61,62
2022-08-16T01:00:00+0000,87.68,87.87,87.2,87.56,107
2022-08-16T02:00:00+0000,87.57,87.96,87.56,87.86,28
2022-08-16T03:00:00+0000,87.95,87.99,87.87,87.87,15
2022-08-16T04:00:00+0000,87.83,87.92,87.83,87.9,44
2022-08-16T05:00:00+0000,87.95,87.95,87.72,87.77,84
2022-08-16T06:00:00+0000,87.72,87.8,87.47,87.67,183
2022-08-16T07:00:00+0000,87.69,88.24,87.67,87.73,353
2022-08-16T08:00:00+0000,87.74,87.77,86.91,87.67,605
2022-08-16T09:00:00+0000,87.63,88.29,87.37,87.96,340
2022-08-16T10:00:00+0000,87.97,87.99,87.31,87.85,312
2022-08-16T11:00:00+0000,87.87,89.26,87.79,89.12,670
2022-08-16T12:00:00+0000,89.1,89.5,88.32,88.46,1014
2022-08-16T13:00:00+0000,88.45,88.9,87.52,88.69,3037
2022-08-16T14:00:00+0000,88.72,89.18,87.06,87.23,2153
2022-08-16T15:00:00+0000,87.24,87.25,85.82,86.3,2978
2022-08-16T16:00:00+0000,86.3,86.49,85.92,86.2,1661
2022-08-16T17:00:00+0000,86.23,86.24,85.31,85.34,2297
2022-08-16T18:00:00+0000,85.34,85.99,85.11,85.4,2484
2022-08-16T19:00:00+0000,85.39,85.82,85.38,85.82,418
2022-08-16T20:00:00+0000,85.81,86.46,85.68,86.46,288
2022-08-16T22:00:00+0000,86.38,86.46,86.04,86.17,34
2022-08-16T23:00:00+0000,86.14,86.27,86.07,86.27,33
