Time,Open,High,Low,Close,Volume,index
2019-07-03T05:04:00+0000,56.47,56.47,56.47,56.47,1,2019-07-03T05:04:00+0000
2019-07-03T05:13:00+0000,56.49,56.49,56.49,56.49,1,2019-07-03T05:13:00+0000
2019-07-03T05:25:00+0000,56.53,56.53,56.53,56.53,1,2019-07-03T05:25:00+0000
2019-07-03T05:27:00+0000,56.54,56.55,56.54,56.55,3,2019-07-03T05:27:00+0000
2019-07-03T05:28:00+0000,56.54,56.54,56.52,56.52,3,2019-07-03T05:28:00+0000
2019-07-03T05:30:00+0000,56.53,56.53,56.53,56.53,1,2019-07-03T05:30:00+0000
2019-07-03T05:38:00+0000,56.48,56.48,56.48,56.48,1,2019-07-03T05:38:00+0000
2019-07-03T05:40:00+0000,56.46,56.46,56.46,56.46,1,2019-07-03T05:40:00+0000
2019-07-03T05:41:00+0000,56.45,56.45,56.45,56.45,1,2019-07-03T05:41:00+0000
2019-07-03T05:46:00+0000,56.49,56.49,56.49,56.49,1,2019-07-03T05:46:00+0000
2019-07-03T05:48:00+0000,56.48,56.48,56.47,56.47,4,2019-07-03T05:48:00+0000
2019-07-03T05:49:00+0000,56.47,56.47,56.41,56.41,3,2019-07-03T05:49:00+0000
2019-07-03T05:51:00+0000,56.44,56.44,56.44,56.44,1,2019-07-03T05:51:00+0000
2019-07-03T06:02:00+0000,56.51,56.51,56.51,56.51,1,2019-07-03T06:02:00+0000
2019-07-03T06:11:00+0000,56.45,56.45,56.45,56.45,1,2019-07-03T06:11:00+0000
2019-07-03T06:13:00+0000,56.46,56.46,56.45,56.45,2,2019-07-03T06:13:00+0000
2019-07-03T06:15:00+0000,56.59,56.59,56.59,56.59,2,2019-07-03T06:15:00+0000
2019-07-03T06:16:00+0000,56.64,56.65,56.62,56.62,17,2019-07-03T06:16:00+0000
2019-07-03T06:17:00+0000,56.61,56.62,56.61,56.62,2,2019-07-03T06:17:00+0000
2019-07-03T06:18:00+0000,56.61,56.61,56.61,56.61,1,2019-07-03T06:18:00+0000
2019-07-03T06:20:00+0000,56.65,56.65,56.65,56.65,1,2019-07-03T06:20:00+0000
2019-07-03T06:21:00+0000,56.67,56.67,56.67,56.67,3,2019-07-03T06:21:00+0000
2019-07-03T06:22:00+0000,56.7,56.7,56.7,56.7,4,2019-07-03T06:22:00+0000
2019-07-03T06:23:00+0000,56.68,56.68,56.67,56.67,2,2019-07-03T06:23:00+0000
2019-07-03T06:25:00+0000,56.63,56.63,56.63,56.63,1,2019-07-03T06:25:00+0000
2019-07-03T06:26:00+0000,56.61,56.61,56.61,56.61,1,2019-07-03T06:26:00+0000
2019-07-03T06:27:00+0000,56.6,56.6,56.6,56.6,2,2019-07-03T06:27:00+0000
2019-07-03T06:32:00+0000,56.63,56.63,56.63,56.63,1,2019-07-03T06:32:00+0000
2019-07-03T06:33:00+0000,56.62,56.62,56.62,56.62,2,2019-07-03T06:33:00+0000
2019-07-03T06:34:00+0000,56.63,56.63,56.63,56.63,1,2019-07-03T06:34:00+0000
2019-07-03T06:35:00+0000,56.65,56.65,56.65,56.65,1,2019-07-03T06:35:00+0000
2019-07-03T06:38:00+0000,56.63,56.63,56.58,56.58,3,2019-07-03T06:38:00+0000
2019-07-03T06:39:00+0000,56.58,56.58,56.56,56.56,4,2019-07-03T06:39:00+0000
2019-07-03T06:40:00+0000,56.57,56.58,56.57,56.58,3,2019-07-03T06:40:00+0000
2019-07-03T06:43:00+0000,56.58,56.58,56.58,56.58,1,2019-07-03T06:43:00+0000
2019-07-03T06:45:00+0000,56.49,56.49,56.49,56.49,1,2019-07-03T06:45:00+0000
2019-07-03T06:46:00+0000,56.52,56.52,56.52,56.52,1,2019-07-03T06:46:00+0000
2019-07-03T06:49:00+0000,56.51,56.51,56.51,56.51,1,2019-07-03T06:49:00+0000
2019-07-03T06:52:00+0000,56.47,56.47,56.47,56.47,1,2019-07-03T06:52:00+0000
2019-07-03T07:00:00+0000,56.5,56.5,56.49,56.49,12,2019-07-03T07:00:00+0000
2019-07-03T07:03:00+0000,56.42,56.42,56.39,56.39,3,2019-07-03T07:03:00+0000
2019-07-03T07:04:00+0000,56.37,56.37,56.37,56.37,1,2019-07-03T07:04:00+0000
2019-07-03T07:07:00+0000,56.5,56.51,56.49,56.49,3,2019-07-03T07:07:00+0000
2019-07-03T07:10:00+0000,56.53,56.55,56.53,56.55,6,2019-07-03T07:10:00+0000
2019-07-03T07:13:00+0000,56.52,56.54,56.52,56.52,3,2019-07-03T07:13:00+0000
2019-07-03T07:14:00+0000,56.5,56.5,56.5,56.5,3,2019-07-03T07:14:00+0000
2019-07-03T07:16:00+0000,56.48,56.48,56.48,56.48,1,2019-07-03T07:16:00+0000
2019-07-03T07:17:00+0000,56.5,56.5,56.5,56.5,1,2019-07-03T07:17:00+0000
2019-07-03T07:21:00+0000,56.48,56.48,56.46,56.46,2,2019-07-03T07:21:00+0000
2019-07-03T07:26:00+0000,56.5,56.5,56.5,56.5,7,2019-07-03T07:26:00+0000
2019-07-03T07:27:00+0000,56.5,56.5,56.5,56.5,33,2019-07-03T07:27:00+0000
2019-07-03T07:28:00+0000,56.5,56.5,56.49,56.49,113,2019-07-03T07:28:00+0000
2019-07-03T07:29:00+0000,56.49,56.49,56.49,56.49,1,2019-07-03T07:29:00+0000
2019-07-03T07:32:00+0000,56.48,56.48,56.48,56.48,1,2019-07-03T07:32:00+0000
2019-07-03T07:38:00+0000,56.42,56.42,56.34,56.34,16,2019-07-03T07:38:00+0000
2019-07-03T07:39:00+0000,56.35,56.35,56.33,56.33,8,2019-07-03T07:39:00+0000
2019-07-03T07:40:00+0000,56.37,56.37,56.37,56.37,1,2019-07-03T07:40:00+0000
2019-07-03T07:43:00+0000,56.41,56.41,56.4,56.4,3,2019-07-03T07:43:00+0000
2019-07-03T07:46:00+0000,56.42,56.42,56.42,56.42,2,2019-07-03T07:46:00+0000
