Time,Open,High,Low,Close,Volume
2008-12-01T07:00:00+0000,55.7,55.7,55.34,55.37,15
2008-12-01T08:00:00+0000,55.35,55.37,54.6,55.08,30
2008-12-01T09:00:00+0000,54.92,54.92,54.37,54.83,155
2008-12-01T10:00:00+0000,54.83,54.92,54.53,54.69,72
2008-12-01T11:00:00+0000,54.8,54.83,54.73,54.8,6
2008-12-01T12:00:00+0000,54.64,54.67,54.22,54.22,17
2008-12-01T13:00:00+0000,54.35,54.65,53.7,53.7,149
2008-12-01T14:00:00+0000,53.99,54.07,53.24,53.6,706
2008-12-01T15:00:00+0000,53.66,54.13,53.5,53.5,761
2008-12-01T16:00:00+0000,53.2,53.44,52.34,52.54,750
2008-12-01T17:00:00+0000,52.58,53.12,52.46,52.81,375
2008-12-01T18:00:00+0000,52.68,53.2,52.48,52.75,242
2008-12-01T19:00:00+0000,52.95,53.25,51.75,51.98,315
2008-12-01T20:00:00+0000,51.94,51.94,51.77,51.85,155
2008-12-01T21:00:00+0000,51.8,52.01,51.45,51.51,49
2008-12-01T22:00:00+0000,51.56,51.56,51.56,51.56,1
2008-12-01T23:00:00+0000,51.5,51.5,51.5,51.5,2
2008-12-02T00:00:00+0000,51.36,51.5,51.29,51.31,11
2008-12-02T01:00:00+0000,51.3,51.41,51.3,51.41,9
2008-12-02T02:00:00+0000,51.27,51.27,51.21,51.21,30
2008-12-02T03:00:00+0000,51.21,51.21,50.44,50.62,97
2008-12-02T04:00:00+0000,50.7,50.75,50.59,50.75,15
2008-12-02T05:00:00+0000,50.74,50.74,50.52,50.52,8
2008-12-02T06:00:00+0000,50.61,50.61,50.02,50.02,23
2008-12-02T07:00:00+0000,50.1,50.29,50.1,50.29,4
2008-12-02T08:00:00+0000,50.24,50.92,50.24,50.9,50
2008-12-02T09:00:00+0000,50.83,50.83,50.75,50.75,3
2008-12-02T10:00:00+0000,50.84,51.81,50.84,51.26,97
2008-12-02T11:00:00+0000,51.2,52.11,51.16,51.86,44
2008-12-02T12:00:00+0000,51.72,52.4,51.71,52.03,63
2008-12-02T13:00:00+0000,51.89,52.71,51.7,52.39,144
2008-12-02T14:00:00+0000,52.39,52.83,51.67,52.1,272
2008-12-02T15:00:00+0000,52.24,52.97,51.4,51.5,732
2008-12-02T16:00:00+0000,51.53,51.6,50.39,51.29,515
2008-12-02T17:00:00+0000,51.25,52.17,50.95,51.75,122
2008-12-02T18:00:00+0000,51.58,52.0,50.7,50.8,288
2008-12-02T19:00:00+0000,50.86,50.97,49.73,50.25,763
2008-12-02T20:00:00+0000,50.25,50.5,49.93,50.12,200
2008-12-02T21:00:00+0000,50.37,50.71,50.12,50.71,77
2008-12-02T22:00:00+0000,50.52,50.55,50.1,50.54,6
2008-12-02T23:00:00+0000,50.1,50.2,50.1,50.2,2
2008-12-03T00:00:00+0000,50.15,50.16,50.0,50.0,5
2008-12-03T01:00:00+0000,50.32,50.8,50.32,50.8,6
2008-12-03T02:00:00+0000,50.81,50.94,50.79,50.94,4
2008-12-03T03:00:00+0000,50.61,50.9,50.46,50.47,5
2008-12-03T04:00:00+0000,50.43,50.45,50.43,50.45,2
2008-12-03T05:00:00+0000,50.7,50.7,50.65,50.65,2
2008-12-03T06:00:00+0000,50.66,50.66,50.46,50.46,4
2008-12-03T07:00:00+0000,50.85,50.85,50.85,50.85,20
2008-12-03T08:00:00+0000,50.41,50.41,50.0,50.22,90
2008-12-03T09:00:00+0000,50.37,50.49,50.21,50.32,159
2008-12-03T10:00:00+0000,50.05,50.23,50.05,50.1,17
2008-12-03T11:00:00+0000,50.02,50.13,49.74,50.13,35
2008-12-03T12:00:00+0000,50.13,50.24,49.77,49.88,50
2008-12-03T13:00:00+0000,49.51,50.15,49.37,50.05,145
2008-12-03T14:00:00+0000,50.0,50.25,49.62,49.89,815
2008-12-03T15:00:00+0000,49.85,50.85,49.2,50.34,439
2008-12-03T16:00:00+0000,50.41,50.59,49.47,50.59,195
2008-12-03T17:00:00+0000,50.36,50.51,50.0,50.27,175
2008-12-03T18:00:00+0000,50.23,50.34,49.76,50.25,228
2008-12-03T19:00:00+0000,50.01,50.31,49.61,49.73,277
2008-12-03T20:00:00+0000,49.7,50.01,49.69,49.95,77
2008-12-03T21:00:00+0000,49.98,50.08,49.9,49.9,12
2008-12-04T00:00:00+0000,50.03,50.03,49.63,49.7,67
2008-12-04T01:00:00+0000,49.72,49.81,49.7,49.75,44
2008-12-04T02:00:00+0000,49.66,49.66,48.87,48.95,105
2008-12-04T03:00:00+0000,48.99,49.0,48.5,48.5,82
2008-12-04T04:00:00+0000,48.68,48.8,48.58,48.8,15
2008-12-04T05:00:00+0000,48.62,48.75,48.59,48.59,5
2008-12-04T06:00:00+0000,48.68,48.68,48.63,48.63,9
2008-12-04T07:00:00+0000,48.83,49.06,48.83,49.06,9
2008-12-04T08:00:00+0000,48.89,49.04,48.7,48.99,52
2008-12-04T09:00:00+0000,48.89,49.21,48.89,49.21,8
2008-12-04T10:00:00+0000,49.21,49.37,49.2,49.28,93
2008-12-04T11:00:00+0000,49.19,49.28,49.05,49.05,104
2008-12-04T12:00:00+0000,48.9,48.99,48.69,48.99,62
2008-12-04T13:00:00+0000,49.17,49.23,48.79,49.2,224
2008-12-04T14:00:00+0000,49.2,50.04,48.95,49.59,415
2008-12-04T15:00:00+0000,49.88,50.29,49.06,49.4,380
2008-12-04T16:00:00+0000,49.15,49.65,48.59,49.12,233
2008-12-04T17:00:00+0000,48.85,48.99,47.56,47.78,498
2008-12-04T18:00:00+0000,47.69,48.06,47.0,47.63,179
2008-12-04T19:00:00+0000,47.95,48.13,46.76,46.95,230
2008-12-04T20:00:00+0000,46.75,46.8,46.51,46.8,51
2008-12-04T21:00:00+0000,46.92,46.92,46.89,46.89,6
2008-12-04T22:00:00+0000,46.93,46.93,46.93,46.93,2
2008-12-04T23:00:00+0000,46.9,46.93,46.9,46.93,3
2008-12-05T00:00:00+0000,46.95,47.06,46.83,46.88,12
2008-12-05T01:00:00+0000,46.92,46.93,46.92,46.93,7
2008-12-05T02:00:00+0000,46.7,46.7,46.7,46.7,1
2008-12-05T03:00:00+0000,46.89,46.89,46.89,46.89,2
2008-12-05T04:00:00+0000,47.21,47.21,47.03,47.03,3
2008-12-05T05:00:00+0000,47.17,47.19,47.17,47.19,3
2008-12-05T06:00:00+0000,47.1,47.1,47.0,47.0,2
2008-12-05T07:00:00+0000,47.2,47.2,47.2,47.2,1
2008-12-05T08:00:00+0000,47.07,47.07,46.66,46.78,40
2008-12-05T09:00:00+0000,47.1,47.48,47.0,47.13,40
2008-12-05T10:00:00+0000,47.13,47.6,47.12,47.46,153
2008-12-05T11:00:00+0000,47.42,47.62,47.35,47.45,21
