Time,Open,High,Low,Close,Volume,index
2016-01-03T23:00:00+0000,39.57,40.41,39.57,40.06,164,2016-01-03T23:00:00+0000
2016-01-04T00:00:00+0000,40.0,40.2,40.0,40.08,9,2016-01-04T00:00:00+0000
2016-01-04T01:00:00+0000,40.06,40.06,39.86,39.88,53,2016-01-04T01:00:00+0000
2016-01-04T02:00:00+0000,39.85,39.85,39.65,39.82,50,2016-01-04T02:00:00+0000
2016-01-04T03:00:00+0000,39.86,40.01,39.86,39.98,217,2016-01-04T03:00:00+0000
2016-01-04T04:00:00+0000,39.98,40.03,39.9,39.97,21,2016-01-04T04:00:00+0000
2016-01-04T05:00:00+0000,39.95,39.99,39.95,39.98,7,2016-01-04T05:00:00+0000
2016-01-04T06:00:00+0000,40.0,40.0,39.8,39.82,31,2016-01-04T06:00:00+0000
2016-01-04T07:00:00+0000,39.72,39.72,39.34,39.49,141,2016-01-04T07:00:00+0000
2016-01-04T08:00:00+0000,39.55,39.55,38.94,39.07,215,2016-01-04T08:00:00+0000
2016-01-04T09:00:00+0000,39.07,39.37,39.0,39.26,112,2016-01-04T09:00:00+0000
2016-01-04T10:00:00+0000,39.29,39.61,39.2,39.56,194,2016-01-04T10:00:00+0000
2016-01-04T11:00:00+0000,39.53,39.73,39.31,39.43,167,2016-01-04T11:00:00+0000
2016-01-04T12:00:00+0000,39.41,39.62,39.35,39.54,79,2016-01-04T12:00:00+0000
2016-01-04T13:00:00+0000,39.48,39.93,39.48,39.74,212,2016-01-04T13:00:00+0000
2016-01-04T14:00:00+0000,39.7,40.5,39.6,40.35,801,2016-01-04T14:00:00+0000
2016-01-04T15:00:00+0000,40.36,40.5,39.14,39.18,911,2016-01-04T15:00:00+0000
2016-01-04T16:00:00+0000,39.16,39.21,38.51,38.77,1082,2016-01-04T16:00:00+0000
2016-01-04T17:00:00+0000,38.76,38.91,38.65,38.85,166,2016-01-04T17:00:00+0000
2016-01-04T18:00:00+0000,38.86,39.05,38.74,38.9,336,2016-01-04T18:00:00+0000
2016-01-04T19:00:00+0000,38.89,39.01,38.68,38.92,548,2016-01-04T19:00:00+0000
2016-01-04T20:00:00+0000,38.94,39.03,38.89,39.03,143,2016-01-04T20:00:00+0000
2016-01-04T21:00:00+0000,39.06,39.13,39.04,39.06,38,2016-01-04T21:00:00+0000
2016-01-04T23:00:00+0000,39.09,39.09,38.96,39.02,16,2016-01-04T23:00:00+0000
2016-01-05T00:00:00+0000,39.08,39.11,39.08,39.08,6,2016-01-05T00:00:00+0000
2016-01-05T01:00:00+0000,39.06,39.3,39.01,39.29,208,2016-01-05T01:00:00+0000
2016-01-05T02:00:00+0000,39.27,39.27,39.19,39.27,39,2016-01-05T02:00:00+0000
2016-01-05T03:00:00+0000,39.31,39.31,39.23,39.23,13,2016-01-05T03:00:00+0000
2016-01-05T04:00:00+0000,39.24,39.27,39.22,39.27,8,2016-01-05T04:00:00+0000
2016-01-05T05:00:00+0000,39.25,39.25,39.06,39.06,7,2016-01-05T05:00:00+0000
2016-01-05T06:00:00+0000,39.05,39.11,39.01,39.08,10,2016-01-05T06:00:00+0000
2016-01-05T07:00:00+0000,39.1,39.17,38.93,38.93,76,2016-01-05T07:00:00+0000
2016-01-05T08:00:00+0000,38.89,38.95,38.74,38.83,54,2016-01-05T08:00:00+0000
2016-01-05T09:00:00+0000,38.88,39.08,38.83,39.06,62,2016-01-05T09:00:00+0000
2016-01-05T10:00:00+0000,38.94,38.95,38.8,38.89,37,2016-01-05T10:00:00+0000
2016-01-05T11:00:00+0000,38.83,39.03,38.83,38.92,43,2016-01-05T11:00:00+0000
2016-01-05T12:00:00+0000,38.94,38.94,38.66,38.83,160,2016-01-05T12:00:00+0000
2016-01-05T13:00:00+0000,38.81,39.14,38.81,38.94,236,2016-01-05T13:00:00+0000
2016-01-05T14:00:00+0000,38.94,38.96,38.34,38.44,994,2016-01-05T14:00:00+0000
2016-01-05T15:00:00+0000,38.4,38.6,38.22,38.48,786,2016-01-05T15:00:00+0000
2016-01-05T16:00:00+0000,38.45,38.6,38.25,38.37,344,2016-01-05T16:00:00+0000
2016-01-05T17:00:00+0000,38.39,38.46,38.29,38.32,230,2016-01-05T17:00:00+0000
2016-01-05T18:00:00+0000,38.32,38.37,38.14,38.34,485,2016-01-05T18:00:00+0000
2016-01-05T19:00:00+0000,38.31,38.42,38.1,38.11,938,2016-01-05T19:00:00+0000
2016-01-05T20:00:00+0000,38.12,38.15,38.04,38.08,145,2016-01-05T20:00:00+0000
2016-01-05T21:00:00+0000,38.08,38.43,38.08,38.43,328,2016-01-05T21:00:00+0000
2016-01-05T23:00:00+0000,38.46,38.57,38.46,38.51,26,2016-01-05T23:00:00+0000
2016-01-06T00:00:00+0000,38.58,38.59,38.52,38.54,7,2016-01-06T00:00:00+0000
2016-01-06T01:00:00+0000,38.53,38.53,38.4,38.47,36,2016-01-06T01:00:00+0000
2016-01-06T02:00:00+0000,38.38,38.38,38.29,38.35,165,2016-01-06T02:00:00+0000
2016-01-06T03:00:00+0000,38.36,38.36,38.28,38.35,47,2016-01-06T03:00:00+0000
2016-01-06T04:00:00+0000,38.35,38.4,38.33,38.33,22,2016-01-06T04:00:00+0000
2016-01-06T05:00:00+0000,38.33,38.37,38.31,38.35,85,2016-01-06T05:00:00+0000
2016-01-06T06:00:00+0000,38.35,38.37,38.3,38.31,34,2016-01-06T06:00:00+0000
2016-01-06T07:00:00+0000,38.31,38.31,38.06,38.1,431,2016-01-06T07:00:00+0000
2016-01-06T08:00:00+0000,38.1,38.1,37.65,37.8,400,2016-01-06T08:00:00+0000
2016-01-06T09:00:00+0000,37.79,37.83,37.7,37.76,103,2016-01-06T09:00:00+0000
2016-01-06T10:00:00+0000,37.73,37.75,37.07,37.28,635,2016-01-06T10:00:00+0000
2016-01-06T11:00:00+0000,37.29,37.43,37.2,37.32,139,2016-01-06T11:00:00+0000
2016-01-06T12:00:00+0000,37.3,37.37,36.94,36.96,361,2016-01-06T12:00:00+0000
2016-01-06T13:00:00+0000,37.0,37.23,36.95,37.19,437,2016-01-06T13:00:00+0000
2016-01-06T14:00:00+0000,37.16,37.23,36.87,37.2,895,2016-01-06T14:00:00+0000
2016-01-06T15:00:00+0000,37.21,37.47,36.55,36.73,1932,2016-01-06T15:00:00+0000
2016-01-06T16:00:00+0000,36.71,36.95,36.68,36.7,500,2016-01-06T16:00:00+0000
2016-01-06T17:00:00+0000,36.72,36.8,36.66,36.69,360,2016-01-06T17:00:00+0000
2016-01-06T18:00:00+0000,36.69,36.69,36.37,36.46,608,2016-01-06T18:00:00+0000
2016-01-06T19:00:00+0000,36.46,36.54,36.22,36.27,1021,2016-01-06T19:00:00+0000
2016-01-06T20:00:00+0000,36.25,36.36,36.21,36.36,267,2016-01-06T20:00:00+0000
2016-01-06T21:00:00+0000,36.36,36.45,36.31,36.4,169,2016-01-06T21:00:00+0000
2016-01-06T23:00:00+0000,36.45,36.63,36.45,36.61,36,2016-01-06T23:00:00+0000
2016-01-07T00:00:00+0000,36.59,36.63,36.58,36.59,32,2016-01-07T00:00:00+0000
2016-01-07T01:00:00+0000,36.58,36.58,35.87,35.87,225,2016-01-07T01:00:00+0000
2016-01-07T02:00:00+0000,35.87,35.88,35.18,35.65,743,2016-01-07T02:00:00+0000
2016-01-07T03:00:00+0000,35.65,35.68,35.33,35.58,395,2016-01-07T03:00:00+0000
2016-01-07T04:00:00+0000,35.62,35.76,35.54,35.6,139,2016-01-07T04:00:00+0000
2016-01-07T05:00:00+0000,35.6,35.66,35.46,35.51,37,2016-01-07T05:00:00+0000
2016-01-07T06:00:00+0000,35.47,35.47,34.94,35.16,232,2016-01-07T06:00:00+0000
2016-01-07T07:00:00+0000,35.09,35.33,34.48,34.75,516,2016-01-07T07:00:00+0000
2016-01-07T08:00:00+0000,34.76,35.25,34.71,35.24,305,2016-01-07T08:00:00+0000
2016-01-07T09:00:00+0000,35.13,35.36,34.9,35.36,265,2016-01-07T09:00:00+0000
2016-01-07T10:00:00+0000,35.38,35.58,35.26,35.5,419,2016-01-07T10:00:00+0000
2016-01-07T11:00:00+0000,35.47,35.67,35.23,35.33,150,2016-01-07T11:00:00+0000
2016-01-07T12:00:00+0000,35.26,35.44,34.85,35.44,492,2016-01-07T12:00:00+0000
2016-01-07T13:00:00+0000,35.48,35.5,35.03,35.37,760,2016-01-07T13:00:00+0000
2016-01-07T14:00:00+0000,35.42,36.0,35.24,35.73,1842,2016-01-07T14:00:00+0000
2016-01-07T15:00:00+0000,35.74,36.42,35.47,36.2,1926,2016-01-07T15:00:00+0000
2016-01-07T16:00:00+0000,36.22,36.58,35.93,36.02,775,2016-01-07T16:00:00+0000
2016-01-07T17:00:00+0000,36.0,36.21,35.68,36.07,1025,2016-01-07T17:00:00+0000
2016-01-07T18:00:00+0000,36.09,36.11,35.6,35.73,840,2016-01-07T18:00:00+0000
2016-01-07T19:00:00+0000,35.76,35.84,35.58,35.58,1248,2016-01-07T19:00:00+0000
2016-01-07T20:00:00+0000,35.57,35.69,35.49,35.6,116,2016-01-07T20:00:00+0000
2016-01-07T21:00:00+0000,35.6,35.62,35.51,35.62,146,2016-01-07T21:00:00+0000
2016-01-07T23:00:00+0000,35.69,35.74,35.62,35.74,25,2016-01-07T23:00:00+0000
2016-01-08T00:00:00+0000,35.68,35.85,35.65,35.82,24,2016-01-08T00:00:00+0000
2016-01-08T01:00:00+0000,35.89,36.67,35.85,36.22,399,2016-01-08T01:00:00+0000
2016-01-08T02:00:00+0000,36.23,36.29,36.02,36.06,34,2016-01-08T02:00:00+0000
2016-01-08T03:00:00+0000,36.09,36.3,36.09,36.28,31,2016-01-08T03:00:00+0000
