Time,Open,High,Low,Close,Volume
2021-09-29T06:58:00+0000,73.96,73.97,73.95,73.97,122
2021-09-29T06:59:00+0000,73.96,73.97,73.93,73.94,196
2021-09-29T07:00:00+0000,73.93,74.01,73.91,73.99,392
2021-09-29T07:01:00+0000,73.98,73.99,73.87,73.98,312
2021-09-29T07:02:00+0000,73.97,73.97,73.87,73.91,213
2021-09-29T07:03:00+0000,73.9,73.92,73.87,73.87,135
2021-09-29T07:04:00+0000,73.87,73.88,73.81,73.81,193
2021-09-29T07:05:00+0000,73.81,73.92,73.81,73.92,247
2021-09-29T07:06:00+0000,73.92,73.94,73.9,73.92,168
2021-09-29T07:07:00+0000,73.92,73.96,73.9,73.9,169
2021-09-29T07:08:00+0000,73.91,73.91,73.87,73.87,122
2021-09-29T07:09:00+0000,73.88,73.93,73.88,73.9,101
2021-09-29T07:10:00+0000,73.9,73.91,73.86,73.91,109
2021-09-29T07:11:00+0000,73.9,73.91,73.8,73.82,304
2021-09-29T07:12:00+0000,73.83,73.86,73.8,73.83,162
2021-09-29T07:13:00+0000,73.82,73.86,73.81,73.85,126
2021-09-29T07:14:00+0000,73.85,73.87,73.81,73.87,111
2021-09-29T07:15:00+0000,73.87,73.92,73.83,73.85,433
2021-09-29T07:16:00+0000,73.86,73.86,73.81,73.81,173
2021-09-29T07:17:00+0000,73.8,73.82,73.8,73.82,118
2021-09-29T07:18:00+0000,73.82,73.85,73.8,73.8,122
2021-09-29T07:19:00+0000,73.81,73.85,73.81,73.83,122
2021-09-29T07:20:00+0000,73.84,73.95,73.84,73.94,316
2021-09-29T07:21:00+0000,73.93,74.04,73.93,74.01,353
2021-09-29T07:22:00+0000,74.02,74.03,73.99,74.02,184
2021-09-29T07:23:00+0000,74.02,74.02,73.97,74.0,60
2021-09-29T07:24:00+0000,74.0,74.06,74.0,74.04,189
2021-09-29T07:25:00+0000,74.05,74.11,74.05,74.08,519
2021-09-29T07:26:00+0000,74.08,74.15,74.08,74.14,244
