Time,Open,High,Low,Close,Volume,index
1970-01-01T00:00:00+0000,0.0,0.0,0.0,0.0,,1970-01-01T00:00:00+0000
2023-09-04T04:13:00+0000,1961.8,1961.8,1961.8,1961.8,1.0,2023-09-04T04:13:00+0000
2023-09-04T08:11:00+0000,1960.9,1960.9,1960.9,1960.9,1.0,2023-09-04T08:11:00+0000
2023-09-04T09:50:00+0000,1958.5,1958.5,1958.5,1958.5,1.0,2023-09-04T09:50:00+0000
2023-09-04T17:26:00+0000,1954.9,1954.9,1954.9,1954.9,1.0,2023-09-04T17:26:00+0000
2023-09-04T17:31:00+0000,1955.3,1955.3,1955.3,1955.3,1.0,2023-09-04T17:31:00+0000
2023-09-05T06:42:00+0000,1951.5,1951.5,1951.5,1951.5,1.0,2023-09-05T06:42:00+0000
2023-09-05T10:05:00+0000,1947.2,1947.2,1947.2,1947.2,1.0,2023-09-05T10:05:00+0000
2023-09-05T13:32:00+0000,1949.2,1949.2,1949.1,1949.1,2.0,2023-09-05T13:32:00+0000
2023-09-05T15:01:00+0000,1943.5,1943.5,1943.5,1943.5,1.0,2023-09-05T15:01:00+0000
2023-09-05T15:37:00+0000,1943.8,1943.8,1943.8,1943.8,1.0,2023-09-05T15:37:00+0000
2023-09-05T15:46:00+0000,1943.4,1943.4,1943.4,1943.4,1.0,2023-09-05T15:46:00+0000
2023-09-06T14:45:00+0000,1932.1,1932.1,1932.1,1932.1,1.0,2023-09-06T14:45:00+0000
2023-09-06T15:49:00+0000,1931.5,1931.5,1931.5,1931.5,1.0,2023-09-06T15:49:00+0000
2023-09-06T15:52:00+0000,1932.8,1932.8,1932.8,1932.8,1.0,2023-09-06T15:52:00+0000
2023-09-06T20:00:00+0000,1932.7,1932.7,1932.7,1932.7,3.0,2023-09-06T20:00:00+0000
2023-09-07T07:56:00+0000,1933.6,1933.6,1933.6,1933.6,1.0,2023-09-07T07:56:00+0000
2023-09-07T12:07:00+0000,1938.0,1938.0,1938.0,1938.0,1.0,2023-09-07T12:07:00+0000
2023-09-07T14:01:00+0000,1934.2,1934.2,1934.2,1934.2,2.0,2023-09-07T14:01:00+0000
2023-09-07T15:05:00+0000,1932.9,1932.9,1932.9,1932.9,1.0,2023-09-07T15:05:00+0000
2023-09-07T15:16:00+0000,1933.6,1933.6,1933.6,1933.6,1.0,2023-09-07T15:16:00+0000
2023-09-07T17:56:00+0000,1933.2,1933.2,1933.2,1933.2,1.0,2023-09-07T17:56:00+0000
2023-09-08T05:17:00+0000,1940.0,1940.0,1940.0,1940.0,1.0,2023-09-08T05:17:00+0000
2023-09-08T12:58:00+0000,1936.0,1936.0,1936.0,1936.0,1.0,2023-09-08T12:58:00+0000
2023-09-08T13:38:00+0000,1939.2,1939.2,1939.2,1939.2,1.0,2023-09-08T13:38:00+0000
2023-09-08T13:58:00+0000,1943.5,1943.5,1943.5,1943.5,1.0,2023-09-08T13:58:00+0000
2023-09-11T14:30:00+0000,1937.2,1937.2,1937.2,1937.2,1.0,2023-09-11T14:30:00+0000
2023-09-11T16:14:00+0000,1938.5,1938.5,1938.5,1938.5,1.0,2023-09-11T16:14:00+0000
2023-09-12T03:30:00+0000,1938.2,1938.2,1938.2,1938.2,1.0,2023-09-12T03:30:00+0000
2023-09-12T11:30:00+0000,1925.4,1925.4,1925.4,1925.4,1.0,2023-09-12T11:30:00+0000
2023-09-12T12:43:00+0000,1925.6,1925.6,1925.6,1925.6,1.0,2023-09-12T12:43:00+0000
